Germany,Arnold Clark Cup
Germany,FIFA World Cup
Germany,FIFA World Cup qualification
Germany,Four Nations Tournament
Germany,Friendly
Germany,Mundialito
Germany,Olympic Games
Germany,SheBelieves Cup
Germany,U.S. Cup
Germany,UEFA Euro
Germany,UEFA Euro qualification
Germany,UEFA Nations League
Ghana,African Championship
Ghana,African Championship qualification
Ghana,African Cup of Nations
Ghana,African Cup of Nations qualification
Ghana,African Games
Ghana,Aisha Buhari Cup
Ghana,CAF Olympic Qualifying Tournament
Ghana,FIFA World Cup
Ghana,Friendly
Ghana,MS&AD Cup
Ghana,Olympic qualification
Ghana,Turkish Women's Cup
Ghana,WAFU Zone B Cup
Gibraltar,Friendly
Gibraltar,Inter Games
Gibraltar,Island Games
Gibraltar,UEFA Nations League
Gotland,Island Games
Gozo,Island Games
Great Britain,Olympic Games
Greece,Algarve Cup
Greece,Aphrodite Cup
Greece,FIFA World Cup qualification
Greece,Friendly
Greece,Olympic Games
Greece,UEFA Euro qualification
Greece,UEFA Nations League
Greenland,Island Games
Grenada,CONCACAF Championship qualification
Grenada,CONCACAF Gold Cup qualification
Grenada,CONCACAF Olympic Qualifying Tournament qualification
Guadeloupe,CONCACAF Championship qualification
Guadeloupe,CONCACAF Gold Cup qualification
Guam,AFC Asian Cup qualification
Guam,AFC Championship
Guam,AFC Olympic Qualifying Tournament
Guam,EAFF E-1 Championship
Guam,EAFF E-1 Championship qualification
Guam,Friendly
Guam,Pacific Games
Guam,WAFF Championship
Guatemala,CONCACAF Championship
Guatemala,CONCACAF Championship qualification
Guatemala,CONCACAF Gold Cup
Guatemala,CONCACAF Gold Cup qualification
Guatemala,CONCACAF Olympic Qualifying Tournament
Guatemala,CONCACAF Olympic Qualifying Tournament qualification
Guatemala,CONCACAF Pre-Olympic Tournament qualification
Guatemala,Central American Games
Guatemala,Central American and Caribbean Games
Guatemala,Friendly
Guernsey,Island Games
Guinea,African Championship
Guinea,African Championship qualification
Guinea,African Cup of Nations qualification
Guinea,CAF Olympic Qualifying Tournament
Guinea,WAFU Zone A Cup
Guinea-Bissau,African Cup of Nations qualification
Guinea-Bissau,CAF Olympic Qualifying Tournament
Guinea-Bissau,WAFU Zone A Cup
Guyana,CONCACAF Championship qualification
Guyana,CONCACAF Gold Cup
Guyana,CONCACAF Gold Cup qualification
Guyana,CONCACAF Olympic Qualifying Tournament
Guyana,CONCACAF Olympic Qualifying Tournament qualification
Haiti,CONCACAF Championship
Haiti,CONCACAF Championship qualification
Haiti,CONCACAF Gold Cup
Haiti,CONCACAF Gold Cup qualification
Haiti,CONCACAF Olympic Qualifying Tournament
Haiti,CONCACAF Olympic Qualifying Tournament qualification
Haiti,CONCACAF Pre-Olympic Tournament
Haiti,CONCACAF Pre-Olympic Tournament qualification
Haiti,Central American and Caribbean Games
Haiti,Chunghua Cup
Haiti,FIFA World Cup
Haiti,FIFA World Cup qualification
Haiti,Friendly
Haiti,Pan American Games
Haiti,Pink Ladies Cup
Hitra,Inter Games
Hitra,Island Games
Honduras,CONCACAF Championship qualification
Honduras,CONCACAF Gold Cup qualification
Honduras,CONCACAF Olympic Qualifying Tournament qualification
Honduras,CONCACAF Pre-Olympic Tournament qualification
Honduras,Central American Games
Honduras,Friendly
Hong Kong,AFC Asian Cup qualification
Hong Kong,AFC Championship
Hong Kong,AFC Olympic Qualifying Tournament
Hong Kong,AFC Olympic qualification
Hong Kong,Asian Games
Hong Kong,Chunghua Cup
Hong Kong,EAFF E-1 Championship
Hong Kong,EAFF E-1 Championship qualification
Hong Kong,Friendly
Hong Kong,Tri-Nation Cup
Hong Kong,Turkish Women's Cup
Hungary,Algarve Cup
Hungary,Cyprus Cup
Hungary,FIFA World Cup qualification
Hungary,Friendly
Hungary,Istria Cup
Hungary,Pinatar Cup
Hungary,Turkish Women's Cup
Hungary,UEFA Euro qualification
Hungary,UEFA Nations League
Iceland,Algarve Cup
Iceland,FIFA World Cup qualification
Iceland,Friendly
Iceland,Pinatar Cup
Iceland,SheBelieves Cup
Iceland,UEFA Euro
Iceland,UEFA Euro qualification
Iceland,UEFA Nations League
Iceland,Yongchuan International Tournament
India,AFC Asian Cup qualification
India,AFC Championship
India,AFC Olympic Qualifying Tournament
India,AFC Olympic qualification
India,Asian Games
India,Chunghua Cup
India,Friendly
India,Gold Cup India
India,International Tournament
India,Pink Ladies Cup
India,SAFF Championship
India,South Asian Games
India,Turkish Women's Cup
Indonesia,AFC Asian Cup
Indonesia,AFC Asian Cup qualification
Indonesia,AFC Championship
Indonesia,AFC Olympic Qualifying Tournament
Indonesia,AFF Championship
Indonesia,AFF Women's Cup
Indonesia,ASEAN Championship
Indonesia,Asian Games
Indonesia,Friendly
Indonesia,Southeast Asian Games
Iran,AFC Asian Cup
Iran,AFC Asian Cup qualification
Iran,AFC Olympic Qualifying Tournament
Iran,AFC Olympic qualification
Iran,CAFA Championship
Iran,Friendly
Iran,Gold Cup India
Iran,Turkish Women's Cup
Iran,WAFF Championship
Iraq,AFC Asian Cup qualification
Iraq,Friendly
Iraq,WAFF Championship
Isle of Man,Inter Games
Isle of Man,Island Games
Isle of Wight,Island Games
Israel,Aphrodite Cup
Israel,FIFA World Cup qualification
Israel,Friendly
Israel,UEFA Euro qualification
Israel,UEFA Nations League
Italy,Algarve Cup
Italy,Arnold Clark Cup
Italy,Australian Cup
Italy,Cyprus Cup
Italy,FIFA World Cup
Italy,FIFA World Cup qualification
Italy,Friendly
Italy,International Tournament
Italy,Mundialito
Italy,Peace Queen Cup
Italy,U.S. Cup
Italy,UEFA Euro
Italy,UEFA Euro qualification
Italy,UEFA Nations League
Ivory Coast,African Championship
Ivory Coast,African Championship qualification
